"kreis","name","land","afd_prozent","lohn_prozent","linke_prozent"
"05558","Coesfeld","NW",0.0470627503337784,0.173,0.0249986092567868
"05562","Recklinghausen","NW",0.0911900360935049,0.204,0.0313558679642447
"05566","Steinfurt","NW",0.0546751247242742,0.171,0.0295600230943463
"05570","Warendorf","NW",0.0635252822541735,0.17,0.0272906011772653
"05711","Bielefeld, Stadt","NW",0.067564308907071,0.195,0.0625788614785861
"05754","Gütersloh","NW",0.0750733427014767,0.187,0.0290165914749895
"05758","Herford","NW",0.0954311108630589,0.18,0.035531153419516
"05762","Höxter","NW",0.0763424652805744,0.178,0.0274073477465453
"05766","Lippe","NW",0.0989331318028797,0.151,0.0362411298791799
"05770","Minden-Lübbecke","NW",0.0908419415750305,0.175,0.0322225924691769
"05774","Paderborn","NW",0.0805036523767078,0.172,0.0328405567982419
"05911","Bochum, Stadt","NW",0.0719469989122911,0.171,0.0513101947987739
"05913","Dortmund, Stadt","NW",0.0735344663612185,0.173,0.0464746103200531
"05914","Hagen, Stadt der FernUniversität","NW",0.104176067141955,0.197,0.0352969046114972
"05915","Hamm, Stadt","NW",0.0915867944621938,0.206,0.0333244586439475
"05916","Herne, Stadt","NW",0.10019078912502,0.172,0.0381048280248026
"05954","Ennepe-Ruhr-Kreis","NW",0.0735390982786073,0.152,0.0350450445777946
"05958","Hochsauerlandkreis","NW",0.0736784267624171,0.163,0.0254858866072912
"05962","Märkischer Kreis","NW",0.094199535962877,0.177,0.0326939422480531
"05966","Olpe","NW",0.0702290265136526,0.171,0.0227295211713494
"05970","Siegen-Wittgenstein","NW",0.0907055907055907,0.129,0.035310368643702
"05974","Soest","NW",0.0793617984056133,0.194,0.030837471997676
"05978","Unna","NW",0.0823514880965509,0.202,0.0346009466296719
"06411","Darmstadt, Wissenschaftsstadt","HE",0.0505946671782083,0.105,0.078997218492231
"06412","Frankfurt am Main, Stadt","HE",0.0501040579474648,0.118,0.0696375783559469
"06413","Offenbach am Main, Stadt","HE",0.0789728256090054,0.198,0.0809515433998769
"06414","Wiesbaden, Landeshauptstadt","HE",0.0703892404598646,0.129,0.0523294228199744
"06431","Bergstraße","HE",0.0938593513344127,0.188,0.030220138925158
"06432","Darmstadt-Dieburg","HE",0.0775486442041076,0.169,0.0391854421491075
"06433","Groß-Gerau","HE",0.0870022667316515,0.192,0.0417295239863532
"06434","Hochtaunuskreis","HE",0.0653073796662885,0.121,0.0299904589471786
"06435","Main-Kinzig-Kreis","HE",0.110823863762124,0.187,0.0351218907564885
"06436","Main-Taunus-Kreis","HE",0.0680605015697582,0.12,0.0311015411487468
"06437","Odenwaldkreis","HE",0.10570619643909,0.208,0.0376992798373458
"06438","Offenbach","HE",0.0782431532343377,0.178,0.0341428739344345
"06439","Rheingau-Taunus-Kreis","HE",0.0807459577422875,0.15,0.032689758411413
"06440","Wetteraukreis","HE",0.0920549101465145,0.181,0.0341962233590546
"06531","Gießen","HE",0.0858327351763277,0.139,0.0508422274248838
"06532","Lahn-Dill-Kreis","HE",0.118058957438838,0.156,0.0323170907414345
"06533","Limburg-Weilburg","HE",0.09694917347716,0.195,0.0287790518146448
"06534","Marburg-Biedenkopf","HE",0.0886983422916917,0.135,0.0571333724157903
"06535","Vogelsbergkreis","HE",0.124456183965196,0.155,0.0361093847110006
"06611","Kassel, documenta-Stadt","HE",0.067779632721202,0.147,0.0823594880356149
"06631","Fulda","HE",0.131318759930421,0.198,0.0257456757957515
"06632","Hersfeld-Rotenburg","HE",0.126998160480272,0.253,0.0293610164415988
"06633","Kassel","HE",0.0881216853169403,0.166,0.0357454048973263
"06634","Schwalm-Eder-Kreis","HE",0.105655652430098,0.169,0.0312013773166263
"06635","Waldeck-Frankenberg","HE",0.101627291881472,0.177,0.0294862599184113
"06636","Werra-Meißner-Kreis","HE",0.0986047583007009,0.182,0.0405574385468426
"07111","Koblenz, kreisfreie Stadt","RP",0.0643735121216538,0.161,0.0412800207290806
"07131","Ahrweiler","RP",0.0625779625779626,0.181,0.0251429313929314
"07132","Altenkirchen (Westerwald)","RP",0.0995418520761473,0.16,0.0304905342426078
"07133","Bad Kreuznach","RP",0.0896624702725111,0.179,0.0322147797438527
"07134","Birkenfeld","RP",0.113924595741016,0.221,0.03231918696036
"07135","Cochem-Zell","RP",0.0750314267756128,0.18,0.0244343180389692
"07137","Mayen-Koblenz","RP",0.0837209302325581,0.18,0.0258328095537398
"07138","Neuwied","RP",0.0939090848987996,0.171,0.0292881496802954
