Land;Statistische Kennziffer;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;Übrige;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
;;;;;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
NI;03257;Schaumburg;124368;93167;780;92387;27589;33588;7600;5724;2105;11663;0;1116;0;1920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;910;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172;669;92498;21269;32547;8020;9316;2512;13538;0;923;819;1418;102;321;53;70;0;0;0;9;0;0;18;0;0;68;0;50;0;990;0;0;0;0;0;20;0;0;0;275;0;160
NI;03351;Celle;139573;102354;870;101484;33740;33137;9749;8824;2658;11022;0;2318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;752;101602;27008;29915;9691;12402;2969;14079;0;1096;997;1380;108;308;89;78;0;0;0;10;0;0;25;0;0;61;0;45;0;1000;0;0;0;0;0;19;0;0;0;138;0;184
NI;03352;Cuxhaven;159013;118721;899;117822;34618;43867;8361;8129;2318;13309;0;1831;1542;2619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;849;117872;30441;41176;9021;11895;3191;15269;0;1308;969;2122;151;336;79;91;0;0;0;15;0;0;16;0;0;74;0;75;0;1215;0;0;0;0;0;30;0;0;0;206;0;192
NI;03353;Harburg;201740;161635;1122;160513;46711;49773;11007;14395;4230;24120;0;3515;0;3561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2850;0;0;0;0;0;351;0;0;0;0;0;0;0;0;0;0;0;0;893;160742;39850;46765;11671;20426;4682;26777;0;2404;1193;2360;138;568;141;113;0;0;0;23;0;0;23;0;0;130;0;95;0;2452;0;0;0;0;0;151;0;0;0;433;0;347
NI;03354;Lüchow-Dannenberg;39132;28561;410;28151;7903;7644;1851;1452;1333;6535;0;256;517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;623;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;24;292;28269;6806;8193;2005;2210;1587;5605;0;194;351;394;32;92;21;21;0;0;0;5;0;0;19;0;0;10;0;26;0;626;0;0;0;0;0;13;0;0;0;22;0;37
NI;03355;Lüneburg;143541;110622;1136;109486;26384;31140;6752;8061;4045;28071;0;1305;1670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1919;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;47;785;109837;22226;33069;7140;11031;4741;24980;0;967;1138;1287;147;361;126;70;0;0;0;20;0;0;46;0;0;109;0;68;0;1773;0;0;0;0;0;40;0;0;0;167;0;331
NI;03356;Osterholz;91256;70271;860;69411;21913;24284;0;5763;3663;9876;0;1987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;513;69758;16487;23362;5062;7091;2747;11153;0;620;554;1005;62;171;64;57;0;0;0;11;0;0;20;0;0;72;0;53;0;814;0;0;0;0;0;29;0;0;0;191;0;133
NI;03357;Rotenburg (Wümme);129750;98606;741;97865;33398;35779;6593;6951;2487;10261;0;1194;0;0;0;537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;668;97938;27851;31477;6910;10441;2681;13275;0;1144;783;1198;134;331;80;48;0;0;0;12;0;0;14;0;0;64;0;56;0;998;0;0;0;0;0;29;0;0;0;144;0;268
NI;03358;Heidekreis;108997;80088;593;79495;20517;39316;6228;4357;1813;5724;0;1540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561;79527;19475;28714;6758;7874;2137;10181;0;828;696;1157;115;304;68;66;0;0;0;9;0;0;13;0;0;64;0;45;0;717;0;0;0;0;0;30;0;0;0;113;0;163
NI;03359;Stade;158345;120245;956;119289;38341;39349;8962;9558;3426;16053;0;271;224;335;0;1218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;776;119469;29907;38988;9258;13088;3500;17776;0;1308;1142;1563;141;597;85;92;0;0;0;11;0;0;22;0;0;101;0;57;0;1165;0;0;0;0;0;26;0;0;0;321;0;321
